PCA_Components,Explained_Variance,Accuracy
2,0.1262775,0.56
3,0.16919178,0.76
4,0.20641671,0.68
5,0.2382164,0.8
6,0.26977646,0.76
7,0.3003902,0.76
8,0.3273486,0.8
9,0.3515805,0.84
10,0.37361592,0.88
11,0.3936544,0.88
12,0.4118696,0.92
13,0.4286891,0.92
14,0.44516677,0.92
15,0.46074814,0.92
16,0.47475827,0.88
17,0.48844466,0.88
18,0.50174403,0.88
19,0.5147941,0.88
20,0.5272692,0.88
21,0.5389369,0.88
22,0.55006653,0.88
23,0.5609344,0.92
24,0.57138044,0.92
25,0.58141196,0.92
26,0.5911819,0.88
27,0.60067123,0.92
28,0.6099219,0.92
29,0.61895806,0.92
30,0.62727535,0.92
31,0.63539547,0.92
32,0.6432962,0.92
33,0.65042573,0.92
34,0.65785235,0.92
35,0.6653226,0.92
36,0.67278874,0.88
37,0.6802139,0.88
38,0.6869295,0.92
39,0.69375867,0.88
40,0.70034695,0.92
41,0.7067999,0.84
42,0.71329087,0.92
43,0.719565,0.92
44,0.7255928,0.92
45,0.7319398,0.92
46,0.73744094,0.92
47,0.74369776,0.92
48,0.7492585,0.92
49,0.7549612,0.92
50,0.7606924,0.92
51,0.7657555,0.92
52,0.7710502,0.92
53,0.77567804,0.92
54,0.78081554,0.88
55,0.78542465,0.88
56,0.79000264,0.88
57,0.79421383,0.88
58,0.79811805,0.92
59,0.8025166,0.92
60,0.80618984,0.88
61,0.8101962,0.88
62,0.81387043,0.88
63,0.81779057,0.88
64,0.82143366,0.88
65,0.825093,0.88
66,0.82852155,0.88
67,0.83217824,0.88
68,0.8355127,0.88
69,0.838558,0.88
70,0.8418943,0.88
71,0.8450266,0.88
72,0.84814095,0.88
73,0.85101825,0.88
74,0.8541666,0.88
75,0.8569121,0.88
76,0.8595903,0.88
77,0.8623918,0.88
78,0.86479694,0.88
79,0.8675998,0.88
80,0.87008137,0.88
81,0.87241554,0.88
82,0.8748767,0.88
83,0.87725085,0.88
84,0.8795641,0.88
85,0.88191724,0.88
86,0.88410646,0.88
87,0.886415,0.88
88,0.8886483,0.88
89,0.8907496,0.88
90,0.8928998,0.88
91,0.8949393,0.88
92,0.8967287,0.88
93,0.8988827,0.88
94,0.9006985,0.88
95,0.9024999,0.88
96,0.90426123,0.88
97,0.9060538,0.88
98,0.90773815,0.88
99,0.9095058,0.88
100,0.9110976,0.88
